,Name,Type,Score,Rank,Popularity,Members,URL
0,One Punch Man 2nd Season,TV (New),7.93,#660,#135,"452,048",https://myanimelist.net/anime/34134/One_Punch_Man_2nd_Season
1,Shingeki no Kyojin Season 3 Part 2,TV (New),9.04,#10,#432,"216,525",https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2
2,Kimetsu no Yaiba,TV (New),8.46,#130,#495,"197,106",https://myanimelist.net/anime/38000/Kimetsu_no_Yaiba
3,Isekai Quartet,TV (New),7.61,#1352,#802,"127,570",https://myanimelist.net/anime/38472/Isekai_Quartet
4,Fruits Basket (2019),TV (New),8.06,#492,#862,"119,393",https://myanimelist.net/anime/38680/Fruits_Basket_2019
5,Kenja no Mago,TV (New),7.29,#2489,#875,"117,790",https://myanimelist.net/anime/36407/Kenja_no_Mago
6,Bungou Stray Dogs 3rd Season,TV (New),8.33,#213,#1069,"93,566",https://myanimelist.net/anime/38003/Bungou_Stray_Dogs_3rd_Season
7,Fairy Gone,TV (New),6.10,#7683,#1121,"87,573",https://myanimelist.net/anime/39063/Fairy_Gone
8,Sewayaki Kitsune no Senko-san,TV (New),7.66,#1229,#1142,"85,882",https://myanimelist.net/anime/38759/Sewayaki_Kitsune_no_Senko-san
9,Bokutachi wa Benkyou ga Dekinai,TV (New),7.11,#3269,#1203,"81,976",https://myanimelist.net/anime/38186/Bokutachi_wa_Benkyou_ga_Dekinai
10,Carole & Tuesday,TV (New),8.30,#245,#1281,"77,190",https://myanimelist.net/anime/37435/Carole___Tuesday
11,Nande Koko ni Sensei ga!?,TV (New),6.76,#4722,#1284,"76,785",https://myanimelist.net/anime/38397/Nande_Koko_ni_Sensei_ga
12,Midara na Ao-chan wa Benkyou ga Dekinai,TV (New),6.78,#4628,#1544,"59,908",https://myanimelist.net/anime/38778/Midara_na_Ao-chan_wa_Benkyou_ga_Dekinai
13,Hitoribocchi no Marumaru Seikatsu,TV (New),7.49,#1710,#1575,"58,069",https://myanimelist.net/anime/37614/Hitoribocchi_no_Marumaru_Seikatsu
14,Senryuu Shoujo,TV (New),7.31,#2464,#1698,"52,266",https://myanimelist.net/anime/38787/Senryuu_Shoujo
15,Sarazanmai,TV (New),7.26,#2708,#1911,"44,549",https://myanimelist.net/anime/37426/Sarazanmai
16,Gunjou no Magmel,TV (New),6.67,#5154,#1927,"43,842",https://myanimelist.net/anime/37806/Gunjou_no_Magmel
17,Kono Oto Tomare!,TV (New),7.56,#1528,#2024,"40,238",https://myanimelist.net/anime/38080/Kono_Oto_Tomare
18,Shoumetsu Toshi,TV (New),5.41,#9676,#2078,"38,552",https://myanimelist.net/anime/37952/Shoumetsu_Toshi
19,Kono Yo no Hate de Koi wo Utau Shoujo YU-NO,TV (New),6.35,#6675,#2090,"38,238",https://myanimelist.net/anime/34620/Kono_Yo_no_Hate_de_Koi_wo_Utau_Shoujo_YU-NO
20,Nobunaga-sensei no Osanazuma,TV (New),5.66,#9012,#2538,"27,335",https://myanimelist.net/anime/38814/Nobunaga-sensei_no_Osanazuma
21,Joshikausei,TV (New),5.45,#9559,#2659,"25,110",https://myanimelist.net/anime/38295/Joshikausei
22,Mayonaka no Occult Koumuin,TV (New),6.63,#5311,#2684,"24,829",https://myanimelist.net/anime/37964/Mayonaka_no_Occult_Koumuin
23,Diamond no Ace: Act II,TV (New),8.24,#296,#3216,"17,436",https://myanimelist.net/anime/38731/Diamond_no_Ace__Act_II
24,RobiHachi,TV (New),6.13,#7621,#3363,"15,958",https://myanimelist.net/anime/38707/RobiHachi
25,Araiya-san!: Ore to Aitsu ga Onnayu de!?,TV (New),6.47,#6076,#3452,"15,191",https://myanimelist.net/anime/39337/Araiya-san__Ore_to_Aitsu_ga_Onnayu_de
26,Hachigatsu no Cinderella Nine,TV (New),6.05,#7894,#3782,"12,121",https://myanimelist.net/anime/38091/Hachigatsu_no_Cinderella_Nine
27,Yatogame-chan Kansatsu Nikki,TV (New),6.07,#7841,#4022,"10,458",https://myanimelist.net/anime/37940/Yatogame-chan_Kansatsu_Nikki
28,Mix,TV (New),7.22,#2836,#4409,"8,444",https://myanimelist.net/anime/38098/Mix
29,Strike Witches: 501 Butai Hasshin Shimasu!,TV (New),5.47,#9537,#4500,"7,985",https://myanimelist.net/anime/38004/Strike_Witches__501_Butai_Hasshin_Shimasu
30,Choukadou Girl â,TV (New),5.80,#8622,#4565,"7,737",https://myanimelist.net/anime/38226/Choukadou_Girl_â
31,Namu Amida Butsu!: Rendai Utena,TV (New),5.54,#9361,#4629,"7,478",https://myanimelist.net/anime/38150/Namu_Amida_Butsu__Rendai_Utena
32,Hangyakusei Million Arthur 2nd Season,TV (New),6.35,#6711,#4868,"6,586",https://myanimelist.net/anime/38268/Hangyakusei_Million_Arthur_2nd_Season
33,Bakumatsu: Crisis,TV (New),5.56,#9294,#4878,"6,540",https://myanimelist.net/anime/38860/Bakumatsu__Crisis
34,Cinderella Girls Gekijou: Climax Season,TV (New),6.44,#6207,#7739,"1,871",https://myanimelist.net/anime/38767/Cinderella_Girls_Gekijou__Climax_Season
35,Aikatsu Friends!: Kagayaki no Jewel,TV (New),6.96,#3899,#8085,"1,578",https://myanimelist.net/anime/39078/Aikatsu_Friends__Kagayaki_no_Jewel
36,Jimoto ga Japan,TV (New),5.63,#11889,#8537,"1,313",https://myanimelist.net/anime/38881/Jimoto_ga_Japan
37,Cinderella Girls Gekijou: Kayou Cinderella Theater 4th Season,TV (New),6.33,#6752,#8888,"1,108",https://myanimelist.net/anime/39654/Cinderella_Girls_Gekijou__Kayou_Cinderella_Theater_4th_Season
38,Cardfight!! Vanguard: Zoku Koukousei-hen,TV (New),6.73,#4857,#9177,961,https://myanimelist.net/anime/39244/Cardfight_Vanguard__Zoku_Koukousei-hen
39,Beyblade Burst Gachi,TV (New),6.43,#6253,#9277,914,https://myanimelist.net/anime/39282/Beyblade_Burst_Gachi
40,King of Prism: Shiny Seven Stars,TV (New),6.57,#5482,#9987,643,https://myanimelist.net/anime/39699/King_of_Prism__Shiny_Seven_Stars
41,Kiratto Priâchan 2nd Season,TV (New),6.48,#12148,#9982,640,https://myanimelist.net/anime/38804/Kiratto_Priâchan_2nd_Season
42,Youkai Watch!,TV (New),6.21,#14038,#10969,402,https://myanimelist.net/anime/39277/Youkai_Watch
43,Duel Masters!!,TV (New),4.73,#11319,#10961,401,https://myanimelist.net/anime/39039/Duel_Masters
44,Watanuki-san Chi no,TV (New),4.33,#13914,#11469,320,https://myanimelist.net/anime/39668/Watanuki-san_Chi_no
